datetime,type,market,amount,price,volume,result
2025-07-15 10:47:04,buy,KRW-PENGU,20705.0,20705,,"{'uuid': '1c09218f-6f24-44a1-bbb0-ca491b67a31f', 'side': 'bid', 'ord_type': 'price', 'price': '20705', 'state': 'wait', 'market': 'KRW-PENGU', 'created_at': '2025-07-15T10:47:04+09:00', 'reserved_fee': '10.3525', 'remaining_fee': '10.3525', 'paid_fee': '0', 'locked': '20715.3525', 'prevented_locked': '0', 'executed_volume': '0', 'trades_count': 0}"
2025-07-15 11:48:31,buy,KRW-PENGU,20702.0,20702,,"{'uuid': '0065c3a6-6bf5-4846-84a9-e34bd0845b46', 'side': 'bid', 'ord_type': 'price', 'price': '20702', 'state': 'wait', 'market': 'KRW-PENGU', 'created_at': '2025-07-15T11:48:33+09:00', 'reserved_fee': '10.351', 'remaining_fee': '10.351', 'paid_fee': '0', 'locked': '20712.351', 'prevented_locked': '0', 'executed_volume': '0', 'trades_count': 0}"
2025-07-15 11:50:16,buy,KRW-PENGU,20694.0,20694,,"{'uuid': 'd81d9a19-2871-4648-8760-6a25beff9cab', 'side': 'bid', 'ord_type': 'price', 'price': '20694', 'state': 'wait', 'market': 'KRW-PENGU', 'created_at': '2025-07-15T11:50:18+09:00', 'reserved_fee': '10.347', 'remaining_fee': '10.347', 'paid_fee': '0', 'locked': '20704.347', 'prevented_locked': '0', 'executed_volume': '0', 'trades_count': 0}"
2025-07-15 12:02:44,buy,KRW-PENGU,20683.0,20683,,"{'uuid': '03a4dc48-7429-431e-88f0-fd83fb96257d', 'side': 'bid', 'ord_type': 'price', 'price': '20683', 'state': 'wait', 'market': 'KRW-PENGU', 'created_at': '2025-07-15T12:02:45+09:00', 'reserved_fee': '10.3415', 'remaining_fee': '10.3415', 'paid_fee': '0', 'locked': '20693.3415', 'prevented_locked': '0', 'executed_volume': '0', 'trades_count': 0}"
